SKU,Item ID,Product Name,Lifecycle Status,Publish Status,Status Change Reason,Product Category,Price,Currency,Buy Box Item Price,Buy Box Shipping Price,MSRP,Product Tax Code,Ship Methods,Shipping Weight,Shipping Weight Unit,Fulfillment Lag Time,Fulfillment Type,WFS Sales Restriction,WPID,GTIN,UPC,Item Page URL,Primary Image URL,Shelf Name,Primary Category Path,Brand,Offer Start Date,Offer End Date,Item Creation Date,Item Last Updated,Reviews Count,Average Rating,Searchable?,Competitor URL,Competitor Price,Competitor Ship Price,Competitor Last Date Fetched,Repricer Strategy,Minimum Seller Allowed Price,Maximum Seller Allowed Price,Repricer Status
18084005125,192225608,Aveda Cherry Almond Hand & Body Wash 250ml/8.5oz,ACTIVE,PUBLISHED,,"Beauty, Personal Care, & Hygiene",23.0,USD,19.95,0.0,62.06,2048134,NETWORK_GEO,0.67,"""LB""",,Seller Fulfilled,,18RO2XOOFKW9,18084005125,18084005125,http://www.walmart.com/ip/Aveda-Cherry-Almond-Hand-Body-Wash-250ml-8-5oz/192225608,https://i5.walmartimages.com/asr/eb7c71d6-81cc-4bff-9b67-a1aebfcf00db.4f2bf96073abed93e9b2c0286cf5e137.jpeg,Premium Body Washes & Shower Gels,"[""Home Page"",""Premium Beauty"",""Premium Bath & Body"",""Premium Body Washes & Shower Gels""]",Aveda,10-30-24,12-31-49,03-05-19,06-12-24,1,5.0,Y,https://www.amazon.com/dp/B07S3XMDL2?psc=1&th=1&vs=1,22.0,0.0,12-16-24,,,,
192333181102,5397556084,Clinique A Little Happiness Fragrance & Body Set,ACTIVE,SYSTEM_PROBLEM,IP - Enhanced Vetting,"Beauty, Personal Care, & Hygiene",15.99,USD,15.95,0.0,,2048134,,0.5,"""LB""",,Seller Fulfilled,,6ERW9M8GNYF7,899745374039,899745374039,http://www.walmart.com/ip/Clinique-A-Little-Happiness-Fragrance-Body-Set/5397556084,https://i5.walmartimages.com/asr/8a635f54-82a3-4f6c-a5e4-fa295910edd7.436ef66facf1a23ad0a790517b018efb.jpeg,Clinique Fragrances,"[""Home Page"",""Premium Beauty"",""Featured Brands"",""Clinique"",""Clinique Fragrances""]",Clinique,06-08-24,12-31-49,01-31-24,12-17-24,9,4.7,Y,https://www.ebay.com/itm/364605082831,15.99,-1.0,09-09-24,,,,
716170258928,1924068495,"Bobbi Brown Skin Corrector Stick - Light Peach , 0.1 oz Concealer",ACTIVE,PUBLISHED,,"Beauty, Personal Care, & Hygiene",34.99,USD,27.0,0.0,,2048134,NETWORK_GEO,0.5,"""LB""",,Seller Fulfilled,,317SD9S2OQX4,716170258928,716170258928,http://www.walmart.com/ip/Bobbi-Brown-Skin-Corrector-Stick-Light-Peach-0-1-oz-Concealer/1924068495,https://i5.walmartimages.com/asr/70f0da3e-07ca-4eb7-9fc9-216c7cb90085.590efd368df6c54289bed5a4f7dacf6f.jpeg,Stick Concealer,"[""Home Page"",""Beauty"",""Makeup"",""Face Makeup"",""Concealer"",""Stick Concealer""]",Bobbi Brown,10-29-24,12-31-49,07-23-23,06-12-24,3,4.7,Y,https://www.amazon.com/dp/B09X9B2ZGY?psc=1&th=1&vs=1,27.99,0.0,12-16-24,,,,
7612491180357,519948260,La Colline Advanced Vital Cellular Vital Serum,ACTIVE,PUBLISHED,,"Beauty, Personal Care, & Hygiene",199.59,USD,199.59,,233.00,2048134,NETWORK_GEO,0.3,"""LB""",,Seller Fulfilled,,3YBQNS8TY63P,7612491180357,,http://www.walmart.com/ip/La-Colline-Advanced-Vital-Cellular-Vital-Serum-30ml-1oz/519948260,https://i5.walmartimages.com/asr/53d4ff4d-8a0f-457f-9778-7811e769c707.4630a7acf071c4411f23c16c24fad99b.jpeg,Facial Treatments,"[""Home Page"",""Beauty"",""Skin Care"",""Facial Serums and Treatments"",""Facial Treatments""]",La Colline,11-14-24,12-31-49,08-19-21,11-14-24,0,,Y,https://www.amazon.com/dp/B016VLFD2Q?psc=1&th=1&vs=1,249.49,0.0,12-14-24,,,,
A73,114860506,Too Faced Born This Way Natural Finish Foundation,ACTIVE,PUBLISHED,,"Beauty, Personal Care, & Hygiene",24.9,USD,15.11,,59.99,2048134,NETWORK_GEO,0.5,"""LB""",,Seller Fulfilled,,338XG8582TXF,651986701391,651986701391,http://www.walmart.com/ip/Too-Faced-Born-This-Way-Oil-Free-Foundation-1-0oz-30ml-New-In-Box/114860506,https://i5.walmartimages.com/asr/34556a05-2048-4857-b413-79c0dd5cda82.65f75a770653179a1a106ddf5003ec0c.jpeg,Premium Foundation,"[""Home Page"",""Premium Beauty"",""Premium Makeup"",""Premium Face"",""Premium Foundation""]",Too Faced,08-08-24,12-31-49,09-14-16,10-29-24,8,4.9,Y,https://www.amazon.com/dp/B00ZCGPTPS?psc=1&th=1&vs=1,36.8,0.0,05-17-24,Competitive price (by Success Hub),24.9,31.13,Min. Allowed Seller Price Reached
KATZAURACACIAESSSENOIL4OZ,25478983,Aura Cacia Peppermint Essential Oil 4 fl oz 188840 OC,ACTIVE,PUBLISHED,,Medicine & Supplements,39.0,USD,49.9,0.0,37.25,2038710,NETWORK_GEO,0.5,"""LB""",,Seller Fulfilled,,6WWA7D9AH8XV,51381888404,51381888404,http://www.walmart.com/ip/Aura-Cacia-Peppermint-Essential-Oil-4-fl-oz-188840-OC/25478983,https://i5.walmartimages.com/asr/b4bbc9a8-16b9-4fab-8d87-714ed41eb851.3ef52e6163eebf7f5795882cec6908e0.jpeg,Spa & Relaxation,"[""Home Page"",""Health and Medicine"",""Massage"",""Spa & Relaxation""]",Aura Cacia,10-14-24,12-31-49,02-07-15,06-11-24,0,4.0,Y,https://www.amazon.com/dp/B002Q4UC6K?psc=1&th=1&vs=1,37.96,0.0,12-14-24,,,,
20714324636,617788010,Clinique Even Better Makeup SPF 15 - CN 40 Cream Chamois 1 oz Foundation,ACTIVE,PUBLISHED,,"Beauty, Personal Care, & Hygiene",22.99,USD,24.2,0.0,35,2048134,NETWORK_GEO,0.5,"""LB""",,Seller Fulfilled,,1OXH2ZF84KHD,20714324636,20714324636,http://www.walmart.com/ip/Clinique-Even-Better-Makeup-SPF-15-CN-40-Cream-Chamois-1-oz-Foundation/617788010,https://i5.walmartimages.com/asr/557fb3b9-3fdd-4f57-ad14-0fda0ae3e883.ef7302ee946e21ba344344b30747676d.jpeg,Premium Foundation,"[""Home Page"",""Premium Beauty"",""Premium Makeup"",""Premium Face"",""Premium Foundation""]",Clinique,10-10-24,12-31-49,03-21-17,12-17-24,2291,4.5,Y,https://www.target.com/p/clinique-even-better-makeup-broad-spectrum-spf-15-foundation-cn-40-cream-chamois-1-fl-oz-ulta-beauty/-/A-82551113?ref=tgt_adv_xsp&AFID=google&fndsrc=tgtao&DFA=71700000012735304&CPNG=PLA_Beauty%2BPersonal+Care%2BShopping_Local%7CBeauty_Ecomm_Beauty&adgroup=SC_Health%2BBeauty&LID=700000001170770pgs&LNM=PRODUCT_GROUP&network=g&device=c&location=9028716&targetid=aud-451285846473%3Apla-894573305419&ds_rl=1246978&gad_source=1&gclid=EAIaIQobChMI7sb975e6hwMVYjjUAR3UvASGEAQYAyABEgLSZPD_BwE&gclsrc=aw.ds,39.0,0.0,12-15-24,,,,
20714678210,227976082,"Clinique Smart Broad Spectrum SPF 15 Custom Repair Face Moisturizer, Very Dry Skin, 1.7 fl. oz.",ACTIVE,PUBLISHED,,"Beauty, Personal Care, & Hygiene",49.99,USD,55.0,0.0,80.83,2048134,NETWORK_GEO,0.5,"""LB""",,Seller Fulfilled,,746WQATSYDVP,20714678210,20714678210,http://www.walmart.com/ip/Clinique-Smart-Broad-Spectrum-SPF-15-Custom-Repair-Face-Moisturizer-Very-Dry-Skin-1-7-fl-oz/227976082,https://i5.walmartimages.com/asr/36271ab5-5c7d-4285-a11a-ef95ee3a6a1c.61cc2b46790256662ee3030fd95fd780.jpeg,Premium Face Moisturizers,"[""Home Page"",""Premium Beauty"",""Premium Skincare"",""Premium Face Moisturizers""]",Clinique,09-24-24,12-31-49,12-01-17,12-18-24,3,3.7,Y,https://www.ebay.com/itm/326004087616,63.99,0.0,09-09-24,,,,
20714968977,665634688,Clinique Even Better All-over Concealer + Eraser - CN 62 Porcelain Beige,ACTIVE,PUBLISHED,,"Beauty, Personal Care, & Hygiene",30.49,USD,30.49,,45.99,2048134,NETWORK_GEO,0.5,"""LB""",,Seller Fulfilled,,6HEUEZ2S73S3,20714968977,20714968977,http://www.walmart.com/ip/cLINIQUE-by-clinique-Even-Better-All-Over-concealer-Eraser-cN-62-Porcelain-Beige-6ml02oz-D0102H5F7g2/665634688,https://i5.walmartimages.com/asr/326539ce-ff3e-4950-adf8-db43896f52c0.3cb3d6a71b3ae2027051a4a53779f861.jpeg,Clinique Makeup,"[""Home Page"",""Premium Beauty"",""Featured Brands"",""Clinique"",""Clinique Makeup""]",Clinique,09-09-24,12-31-49,01-18-22,07-12-24,0,,Y,https://www.amazon.com/dp/B0CCPKDB69?psc=1&th=1&vs=1,32.0,0.0,12-16-24,,,,
22548425893,1242576250,Lab Series Skincare For Men Hydration Boost Set - Includes Rescue Water Lotion and Solid Water Essence - Travel Exclusive,ACTIVE,PUBLISHED,,"Beauty, Personal Care, & Hygiene",42.23,USD,48.97,0.0,44.39,2048134,NETWORK_GEO,1.0,"""LB""",,Seller Fulfilled,,3XOYGCXRWPBN,22548425893,22548425893,http://www.walmart.com/ip/Lab-Series-Skincare-For-Men-Hydration-Boost-Set-Includes-Rescue-Water-Lotion-and-Solid-Water-Essence-Travel-Exclusive/1242576250,https://i5.walmartimages.com/asr/0667e367-4676-4d3c-945e-3027df3ea772.e31138e17b1a7da71352f740f490c427.jpeg,Skin Care Sets,"[""Home Page"",""Beauty"",""Skin Care"",""Skin Care Sets""]",Lab Series,07-31-24,12-31-49,11-10-22,12-15-24,0,,Y,https://www.ebay.com/itm/155306000049,42.23,-1.0,09-09-24,,,,
22548431382,340235641,Lab Series Daily Rescue Energizing Face Lotion 0.68 fl oz,ACTIVE,PUBLISHED,,"Beauty, Personal Care, & Hygiene",9.99,USD,9.39,0.0,,2048134,NETWORK_GEO,0.3,"""LB""",,Seller Fulfilled,,431EV29GNOES,22548301920,22548301920,http://www.walmart.com/ip/Lab-Series-age-rescue-face-lotion-1oz-tube/340235641,https://i5.walmartimages.com/asr/a808492f-66b8-4a33-b253-4b5eaf601333.3a4ff666fea241075ab58d25713ff765.jpeg,Premium Face Moisturizers,"[""Home Page"",""Premium Beauty"",""Premium Skincare"",""Premium Face Moisturizers""]",Lab Series,09-09-24,12-31-49,08-18-17,12-18-24,1,5.0,Y,https://www.ebay.com/itm/176030874991,12.99,4.99,08-09-24,,,,
651986505098,5346118632,Too Faced Lip Injection Power Plumping Cream Liquid Lipstick Large & In Charge,ACTIVE,PUBLISHED,,"Beauty, Personal Care, & Hygiene",17.0,USD,28.0,0.0,,2048134,NETWORK_GEO,0.5,"""LB""",,Seller Fulfilled,,70ZBMB0S2NR5,651986505098,651986505098,http://www.walmart.com/ip/Too-Faced-Lip-Injection-Power-Plumping-Cream-Liquid-Lipstick-Large-In-Charge/5346118632,https://i5.walmartimages.com/asr/e25e235b-8df9-43ea-a22b-004389894ab7.d7d69182635df4101a6ff834bbfdf478.jpeg,Lipstick,"[""Home Page"",""Beauty"",""Makeup"",""Lip Makeup"",""Lipstick""]",Too Faced,08-26-24,12-31-49,12-01-24,12-15-24,0,,Y,https://www.ebay.com/itm/296302060931,17.0,0.0,09-09-24,,,,
