SKU,Item ID,Publish Status,Product Category,Price,Buy Box Item Price,MSRP,Shipping Weight,WPID,GTIN,Shelf Name,Primary Category Path,Brand,Offer Start Date,Offer End Date,Item Creation Date,Item Last Updated,Reviews Count,Average Rating,Competitor Price,Competitor Ship Price,Competitor Last Date Fetched,Condition,Product Type,Impressions,Clicks,Added to Cart,Sales Rank,Transactability Score,Buy Box Win %
18084005125,192225608,PUBLISHED,"Beauty, Personal Care, & Hygiene",23.0,19.95,62.06,0.67,18RO2XOOFKW9,18084005125,Premium Body Washes & Shower Gels,"('Home Page', 'Premium Beauty', 'Premium Bath & Body', 'Premium Body Washes & Shower Gels')",Aveda,10-30-24,12-31-49,03-05-19,06-12-24,1,5.0,22.0,0.0,12-16-24,New,Body Washes & Shower Gels,Very low,Medium,Very low,1712,100,0
716170258928,1924068495,PUBLISHED,"Beauty, Personal Care, & Hygiene",34.99,27.0,-1.0,0.5,317SD9S2OQX4,716170258928,Stick Concealer,"('Home Page', 'Beauty', 'Makeup', 'Face Makeup', 'Concealer', 'Stick Concealer')",Bobbi Brown,10-29-24,12-31-49,07-23-23,06-12-24,3,4.7,27.99,0.0,12-16-24,New,Concealer Makeup,Very low,Medium,Very low,406,0,0
A73,114860506,PUBLISHED,"Beauty, Personal Care, & Hygiene",24.9,15.11,59.99,0.5,338XG8582TXF,651986701391,Premium Foundation,"('Home Page', 'Premium Beauty', 'Premium Makeup', 'Premium Face', 'Premium Foundation')",Too Faced,08-08-24,12-31-49,09-14-16,10-29-24,8,4.9,36.8,0.0,05-17-24,New,Foundation Makeup,Very low,High,Very low,208,100,0
KATZAURACACIAESSSENOIL4OZ,25478983,PUBLISHED,Medicine & Supplements,39.0,49.9,37.25,0.5,6WWA7D9AH8XV,51381888404,Spa & Relaxation,"('Home Page', 'Health and Medicine', 'Massage', 'Spa & Relaxation')",Aura Cacia,10-14-24,12-31-49,02-07-15,06-11-24,0,4.0,37.96,0.0,12-14-24,New,Aromatherapy & Essential Oils,Very low,Very low,Very low,-1,0,0
20714324636,617788010,PUBLISHED,"Beauty, Personal Care, & Hygiene",22.99,24.2,35.0,0.5,1OXH2ZF84KHD,20714324636,Premium Foundation,"('Home Page', 'Premium Beauty', 'Premium Makeup', 'Premium Face', 'Premium Foundation')",Clinique,10-10-24,12-31-49,03-21-17,12-17-24,2291,4.5,39.0,0.0,12-15-24,New,Foundation Makeup,Very low,Medium,Very low,115,0,0
20714678210,227976082,PUBLISHED,"Beauty, Personal Care, & Hygiene",49.99,55.0,80.83,0.5,746WQATSYDVP,20714678210,Premium Face Moisturizers,"('Home Page', 'Premium Beauty', 'Premium Skincare', 'Premium Face Moisturizers')",Clinique,09-24-24,12-31-49,12-01-17,12-18-24,3,3.7,63.99,0.0,09-09-24,New,Facial Moisturizers,Very low,Medium,Very low,959,37,14
20714968977,665634688,PUBLISHED,"Beauty, Personal Care, & Hygiene",30.49,30.49,45.99,0.5,6HEUEZ2S73S3,20714968977,Clinique Makeup,"('Home Page', 'Premium Beauty', 'Featured Brands', 'Clinique', 'Clinique Makeup')",Clinique,09-09-24,12-31-49,01-18-22,07-12-24,0,0.0,32.0,0.0,12-16-24,New,Concealer Makeup,Very low,High,Very low,136,0,0
22548425893,1242576250,PUBLISHED,"Beauty, Personal Care, & Hygiene",42.23,48.97,44.39,1.0,3XOYGCXRWPBN,22548425893,Skin Care Sets,"('Home Page', 'Beauty', 'Skin Care', 'Skin Care Sets')",Lab Series,07-31-24,12-31-49,11-10-22,12-15-24,0,0.0,42.23,-1.0,09-09-24,New,Skin Care Sets,Very low,Very low,Very low,896,0,0
22548431382,340235641,PUBLISHED,"Beauty, Personal Care, & Hygiene",9.99,9.39,-1.0,0.3,431EV29GNOES,22548301920,Premium Face Moisturizers,"('Home Page', 'Premium Beauty', 'Premium Skincare', 'Premium Face Moisturizers')",Lab Series,09-09-24,12-31-49,08-18-17,12-18-24,1,5.0,12.99,4.99,08-09-24,New,Facial Moisturizers,Very low,Very low,Very low,7810,12,0
651986505098,5346118632,PUBLISHED,"Beauty, Personal Care, & Hygiene",17.0,28.0,-1.0,0.5,70ZBMB0S2NR5,651986505098,Lipstick,"('Home Page', 'Beauty', 'Makeup', 'Lip Makeup', 'Lipstick')",Too Faced,08-26-24,12-31-49,12-01-24,12-15-24,0,0.0,17.0,0.0,09-09-24,New,Lipsticks,Very low,Medium,Very low,2325,0,0
